report_date,uninsured_dep_to_total_dep,uninsured_dep_to_assets,demand_dep_to_assets,demand_plus_mmda_to_assets,transaction_dep_to_assets,nonmaturity_dep_to_total_dep,total_securities_to_assets,htm_to_total_securities,htm_to_assets,total_ac_minus_fv_to_equity,htm_ac_minus_fv_to_equity
2014-03-31,0.9065201352862823,0.7612709889522128,0.08387475488849798,0.8359177983616535,0.08423694582386677,0.997284720214363,0.456668840597478,0.0,0.0,0.02066670656119168,0.0
2014-06-30,0.9126911481606754,0.7488577716658348,0.07208803675661134,0.8168628817794148,0.07263350364516884,0.9972441823392626,0.5406204852572554,0.31942183333980295,0.1726859865419264,-0.019681677341472244,0.003906484238594489
2014-09-30,0.9106084949055759,0.7535917804440205,0.07703794272998908,0.8237934665257336,0.07753992282237915,0.9969148309768013,0.5808834552871867,0.33366753385508213,0.19382194998289445,0.01840469683079217,0.02070759629866881
2014-12-31,0.9109368905578825,0.7481428772577415,0.08705040314204139,0.8184534511101774,0.08745790328179559,0.9978068134817566,0.5564674113259892,0.35449552815569935,0.19726520887944132,-0.011979114022247817,0.002239922532372808
2015-03-31,0.9105725651102677,0.7667543000196082,0.0916397612779944,0.8396861260771755,0.09211865661484979,0.998450026899158,0.5671975494081991,0.36286923611558564,0.20581854148038534,-0.060571213160125884,-0.01831352451845402
2015-06-30,0.9149885490092105,0.7734648598043519,0.07880798534656715,0.8435346810707033,0.07913177809669376,0.9988643507315841,0.5604966080759701,0.3483466741272264,0.19524712928285573,-0.024667008354051827,0.0017331194033619582
2015-09-30,0.9152904803562621,0.7751634139639505,0.09858170527828868,0.8452101704246341,0.09895559146277798,0.9989837075070892,0.5741221694160517,0.35213303393040113,0.20216738136317802,-0.06467606864434214,-0.01983611971794723
2015-12-31,0.9233947250694914,0.76772605864197,0.09028363232804162,0.8301495538362645,0.0903494814771065,0.9990558113658318,0.5709022030274311,0.34952413664968235,0.1995440996245645,0.008675910292264416,0.010572580658342719
2016-03-31,0.9124834118261549,0.7784911430041315,0.11497881689029717,0.8519430874870804,0.11507622012200057,0.9991639942032715,0.5316211870169958,0.37397366271498456,0.1988123224856337,-0.07969170833158788,-0.025477924778902806
2016-06-30,0.9055232122653656,0.7573932793786954,0.10495725133431999,0.8352733941054716,0.10504047185565424,0.9992059940395308,0.4993909503795291,0.3860324527482967,0.1927811134553125,-0.09708799716114182,-0.03620169349083995
2016-09-30,0.9087680885148078,0.7674966061927776,0.10577022466045169,0.8434572286066389,0.10584572072774177,0.9992261903671608,0.4790820812650825,0.38121482197586715,0.18263319032129635,-0.07151279564009332,-0.027425333191190556
2016-12-31,0.9095603073091321,0.7578268777777312,0.10513281541540863,0.8321185283282482,0.10523352314933371,0.9992815247493753,0.477143644560245,0.4007737546251048,0.19122664992591581,0.005643175683313826,0.014856750268079325
2017-03-31,0.9086731373450226,0.7736970539956947,0.10168069637075455,0.8505164121716019,0.10173576689004969,0.9993279702031499,0.4579410968519526,0.41066020301993694,0.18805818380439546,0.006956368586932948,0.01364512972976208
2017-06-30,0.908458809460957,0.7603219482400229,0.11472174038728893,0.8360823918726036,0.11477400184759386,0.9993870318805164,0.4575925031523344,0.4562128029796589,0.20875955848560487,0.002950460103225907,0.0077250325318512746
2017-09-30,0.90256560415456,0.7588079133401419,0.10013639995858283,0.8399436522938607,0.10019965506643277,0.9994614903816966,0.468974811311455,0.4720146084919545,0.22136296195376465,0.006370528495074942,0.008471958143039885
2017-12-31,0.9022870272204878,0.7416846413943831,0.09453357578584133,0.8212826399208143,0.09459924634646728,0.9995025241497304,0.4663040265143152,0.538960581023149,0.2513194890635892,0.043595526641297296,0.030611219755154892
2018-03-31,0.9063602053974912,0.7403753737289287,0.09829242040869637,0.8159724137621316,0.09858900839315927,0.9995496890774656,0.45679347409130866,0.5959820927491577,0.2722407306430963,0.10906737119669423,0.08189930806795939
2018-06-30,0.9045011789573201,0.7540176833721687,0.1062046578716761,0.8329945986509237,0.10630221912540848,0.9995907035001135,0.4589437713258632,0.6290001211847717,0.2886756877809641,0.12908665153733745,0.09935516026619362
2018-09-30,0.8994921134135079,0.7091238666981984,0.1020888063148181,0.7877794689017923,0.10215763873009204,0.9996121387205927,0.43224759726777034,0.6421304382523153,0.27755933906706365,0.15801383064315494,0.12380312644636401
2018-12-31,0.8738997805714934,0.7044893266512342,0.06667692798336947,0.8055650299456834,0.06675357613596553,0.9996227295106704,0.4110248543791977,0.6711845555770846,0.2758735342176377,0.08119586907300036,0.06569007333561225
2019-03-31,0.8777402104104138,0.7143265650206346,0.06431276910297291,0.8133346871962692,0.06435298419871108,0.9996642788829143,0.3673671073225592,0.6959775904096791,0.25567927415012875,0.01698220230789999,0.012508293296972
2019-06-30,0.8711598556975723,0.7129398182765698,0.06126347346426787,0.8178515290627265,0.06129943031623779,0.9995948980969002,0.3626958845251788,0.6568874468067905,0.2382503735530752,-0.05556404106536589,-0.0397447999805531
2019-09-30,0.9025167515692017,0.7456072145002206,0.05559799374926316,0.8255257031452642,0.055678205961638846,0.999538761006614,0.404492620551022,0.5311341859919583,0.21483985875612108,-0.089373210806692,-0.0593083591883901
2019-12-31,0.902971063879893,0.7306497129967205,0.05717236977593546,0.8085767612048389,0.057235835805503656,0.9995437771449949,0.39651876746540027,0.49913837627918456,0.19791773375690344,-0.07412653118385727,-0.05409651585836183
2020-03-31,0.9114951290157982,0.7080891818782554,0.05964178569589804,0.7760370661813115,0.05969738621731522,0.9992784024954309,0.35458875354101915,0.5199128108834495,0.18435523556117,-0.20047256721167545,-0.09909118129697679
2020-06-30,0.9289895447115035,0.7620006953516482,0.04693010532358263,0.8193575601738083,0.04695401358450816,0.9991276341244677,0.3695424023955604,0.4118518828361561,0.152196734214408,-0.2232975401736817,-0.11722895391072392
2020-09-30,0.9352527209833443,0.7780765177416784,0.045208708293353064,0.8312282411122984,0.045297842447083424,0.9993944782997839,0.40735179214386025,0.3348363664762243,0.13639619395902833,-0.20677115806696916,-0.10319669770567341
2020-12-31,0.9345061691228372,0.7779534409171092,0.046885886253244906,0.8319131797758974,0.04694598862685999,0.9995153018224858,0.41628926118160214,0.3501275817844586,0.14575435234035322,-0.17775546742068568,-0.08831930676121706
2021-03-31,0.9421475888504858,0.7707071035535039,0.04848792050854538,0.8176503955881137,0.04853411299269099,0.99975812710405,0.4776070008898345,0.6145093520047308,0.2934939686297351,0.02106895211489787,-0.002396006222794241
2021-06-30,0.9482662818643605,0.7905215657387779,0.039203177781199056,0.8333631058220161,0.039235441994347975,0.9997879517402389,0.5193464001184018,0.716658658507478,0.37219409440954176,-0.017701078771565,-0.010491975260990414
2021-09-30,0.94221532326325,0.7946188072216085,0.03556273550125733,0.8216340225635175,0.03578101538483432,0.9975722346787342,0.5586070867579171,0.7829889956738735,0.4373832018368899,0.025110970698183507,0.028122278250578968
2021-12-31,0.946623863882585,0.7959353920059833,0.034667587172369486,0.8196048537498621,0.03499359960878508,0.9983920446122091,0.6003375187577008,0.7842340219934675,0.47080510688893046,0.08090571138898277,0.06590064210882055
2022-03-31,0.9459305696874214,0.7939156305669317,0.03667058456226699,0.8200859488347322,0.03691392260931847,0.9985722256868087,0.5717801325962792,0.7926543328836642,0.45322399955923676,0.5771738384462288,0.48356324205613893
2022-06-30,0.9449121784209834,0.7804545282876351,0.03511877785331218,0.8071512198806556,0.03538314827403882,0.9985767931548895,0.5754541506156055,0.7860863858238648,0.4523566734647632,0.8582477577018068,0.7304692577668009
2022-09-30,0.9390471812799003,0.7384895645060026,0.05487433648522669,0.7798082228268107,0.05512642453530184,0.9928450898446242,0.5531287456479138,0.8022219929143879,0.443732044671905,1.4757750016524556,1.052614184678432
2022-12-31,0.93877222425207,0.7252303541186264,0.04990766698879565,0.7648617875288242,0.05017079215025882,0.9913053709770311,0.5420474008018141,0.806049319517749,0.43691693856266683,1.4030797101449275,0.9807841614906833
